medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Bronze Medal,3,2024-08-05,EMMANOUIL KARALIS,GRE,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1961218
Gold Medal,1,2024-08-05,BEATRICE CHEBET,KEN,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1910560
Silver Medal,2,2024-08-05,FAITH KIPYEGON,KEN,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1910451
Bronze Medal,3,2024-08-05,SIFAN HASSAN,NED,W,Athletics,Women's 5000m,ATH,/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--,1972105
Gold Medal,1,2024-08-05,KEELY HODGKINSON,GBR,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1924429
Silver Medal,2,2024-08-05,TSIGE DUGUMA,ETH,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1536498
Bronze Medal,3,2024-08-05,MARY MORAA,KEN,W,Athletics,Women's 800m,ATH,/en/paris-2024/results/athletics/women-s-800m/fnl-000100--,1928047
Gold Medal,1,2024-08-05,VALARIE ALLMAN,USA,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1960721
Silver Medal,2,2024-08-05,FENG BIN,CHN,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1919067
Bronze Medal,3,2024-08-05,SANDRA ELKASEVIC,CRO,W,Athletics,Women's Discus Throw,ATH,/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--,1922205
Gold Medal,1,2024-08-05,VIKTOR AXELSEN,DEN,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000100--,1888993
Silver Medal,2,2024-08-05,KUNLAVUT VITIDSARN,THA,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000100--,1926294
Bronze Medal,3,2024-08-05,ZII JIA LEE,MAS,M,Badminton,Men's Singles,HATH,/en/paris-2024/results/badminton/men-s-singles/fnl-000200--,1566617
Gold Medal,1,2024-08-05,AN SE YOUNG,KOR,W,Badminton,Women's Singles,HATH,/en/paris-2024/results/badminton/women-s-singles/fnl-000100--,1891498
Silver Medal,2,2024-08-05,HE BING JIAO,CHN,W,Badminton,Women's Singles,HATH,/en/paris-2024/results/badminton/women-s-singles/fnl-000100--,1913436
Gold Medal,1,2024-08-05,FINN BUTCHER,NZL,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1945386
Silver Medal,2,2024-08-05,JOSEPH CLARKE,GBR,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1896032
Bronze Medal,3,2024-08-05,NOAH HEGGE,GER,M,Canoe Slalom,Men's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------,1913780
Gold Medal,1,2024-08-05,NOEMIE FOX,AUS,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1940209
Silver Medal,2,2024-08-05,ANGELE HUG,FRA,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1880483
Bronze Medal,3,2024-08-05,KIMBERLEY WOODS,GBR,W,Canoe Slalom,Women's Kayak Cross,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------,1896045
Gold Medal,1,2024-08-05,GREAT BRITAIN,GBR,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3GBR01
Silver Medal,2,2024-08-05,NEW ZEALAND,NZL,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3NZL01
Bronze Medal,3,2024-08-05,GERMANY,GER,W,Cycling Track,Women's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------,CTRWSPRTEAM3GER01
Gold Medal,1,2024-08-05,LI YUEHONG,CHN,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1913913
Silver Medal,2,2024-08-05,CHO YEONGJAE,KOR,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1893852
Bronze Medal,3,2024-08-05,WANG XINJIE,CHN,M,Shooting,25m Rapid Fire Pistol Men,ATH,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--,1913919
Gold Medal,1,2024-08-05,ITALY 1,ITA,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--,SHOXSKMT----ITA01
Silver Medal,2,2024-08-05,UNITED STATES 1,USA,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--,SHOXSKMT----USA01
Bronze Medal,3,2024-08-05,CHINA,CHN,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000200--,SHOXSKMT----CHN01
Gold Medal,1,2024-08-05,KAULI VAAST,FRA,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1567361
Silver Medal,2,2024-08-05,JACK ROBINSON,AUS,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1946129
Bronze Medal,3,2024-08-05,GABRIEL MEDINA,BRA,M,Surfing,Men,HATH,/en/paris-2024/results/surfing/men/fnl---------,1955778
Gold Medal,1,2024-08-05,CAROLINE MARKS,USA,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1943206
Silver Medal,2,2024-08-05,TATIANA WESTON-WEBB,BRA,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1955783
Bronze Medal,3,2024-08-05,JOHANNE DEFAY,FRA,W,Surfing,Women,HATH,/en/paris-2024/results/surfing/women/fnl---------,1567359
Gold Medal,1,2024-08-05,GERMANY,GER,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---GER01
Silver Medal,2,2024-08-05,UNITED STATES,USA,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---USA01
Bronze Medal,3,2024-08-05,GREAT BRITAIN,GBR,X,Triathlon,Mixed Relay,TEAM,/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--,TRIXTEAM4---GBR01
Gold Medal,1,2024-08-06,COLE HOCKER,USA,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1960933
Silver Medal,2,2024-08-06,JOSH KERR,GBR,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1924440
Bronze Medal,3,2024-08-06,YARED NUGUSE,USA,M,Athletics,Men's 1500m,ATH,/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--,1965327
Gold Medal,1,2024-08-06,MILTIADIS TENTOGLOU,GRE,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1961246
Silver Medal,2,2024-08-06,WAYNE PINNOCK,JAM,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1938899
Bronze Medal,3,2024-08-06,MATTIA FURLANI,ITA,M,Athletics,Men's Long Jump,ATH,/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--,1552378
Gold Medal,1,2024-08-06,GABRIELLE THOMAS,USA,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1965868
Silver Medal,2,2024-08-06,JULIEN ALFRED,LCA,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1537325
Bronze Medal,3,2024-08-06,BRITTANY BROWN,USA,W,Athletics,Women's 200m,ATH,/en/paris-2024/results/athletics/women-s-200m/fnl-000100--,1960588
Gold Medal,1,2024-08-06,WINFRED YAVI,BRN,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1926102
Silver Medal,2,2024-08-06,PERUTH CHEMUTAI,UGA,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1971686
Bronze Medal,3,2024-08-06,FAITH CHEROTICH,KEN,W,Athletics,Women's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--,1910453
Gold Medal,1,2024-08-06,CAMRYN ROGERS,CAN,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1974290
Silver Medal,2,2024-08-06,ANNETTE NNEKA ECHIKUNWOKE,USA,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1960899
Bronze Medal,3,2024-08-06,ZHAO JIE,CHN,W,Athletics,Women's Hammer Throw,ATH,/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--,1919077
Bronze Medal,3,2024-08-06,OMARI JONES,USA,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/sfnl000100--,1955645
Bronze Medal,3,2024-08-06,LEWIS RICHARDSON,GBR,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/sfnl000200--,1912009
Bronze Medal,3,2024-08-06,NAZYM KYZAIBAY,KAZ,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/sfnl000100--,1931331
Bronze Medal,3,2024-08-06,AIRA VILLEGAS,PHI,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/sfnl000200--,1979870
Gold Medal,1,2024-08-06,KELLIE HARRINGTON,IRL,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--,1555098
Silver Medal,2,2024-08-06,YANG WENLU,CHN,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--,1926828
Bronze Medal,3,2024-08-06,JANJAEM SUWANNAPHENG,THA,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/sfnl000100--,1898283
Bronze Medal,3,2024-08-06,CHEN NIEN CHIN,TPE,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/sfnl000200--,1887975
Gold Medal,1,2024-08-06,NETHERLANDS,NED,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3NED01
Silver Medal,2,2024-08-06,GREAT BRITAIN,GBR,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3GBR01
Bronze Medal,3,2024-08-06,AUSTRALIA,AUS,M,Cycling Track,Men's Team Sprint,TEAM,/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------,CTRMSPRTEAM3AUS01
Gold Medal,1,2024-08-06,QUAN HONGCHAN,CHN,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1901545
Silver Medal,2,2024-08-06,CHEN YUXI,CHN,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1901544
Bronze Medal,3,2024-08-06,KIM MI RAE,PRK,W,Diving,Women's 10m Platform,ATH,/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--,1980115
Gold Medal,1,2024-08-06,CHRISTIAN KUKUK,GER,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1914912
Silver Medal,2,2024-08-06,STEVE GUERDAT,SUI,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1976553
Bronze Medal,3,2024-08-06,MAIKEL VAN DER VLEUTEN,NED,O,Equestrian,Jumping Individual,ATH,/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--,1976879
Gold Medal,1,2024-08-06,ARISA TREW,AUS,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1946064
Silver Medal,2,2024-08-06,HIRAKI COCONA,JPN,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1902075
Bronze Medal,3,2024-08-06,SKY BROWN,GBR,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1544123
Gold Medal,1,2024-08-06,MIJAIN LOPEZ NUNEZ,CUB,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/fnl-000100--,1571506
Silver Medal,2,2024-08-06,YASMANI ACOSTA FERNANDEZ,CHI,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/fnl-000100--,1935199
Bronze Medal,3,2024-08-06,AMIN MIRZAZADEH,IRI,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/repf000100--,1544882
Bronze Medal,3,2024-08-06,MENG LINGZHE,CHN,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/repf000200--,1919983
Gold Medal,1,2024-08-06,FUMITA KENICHIRO,JPN,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/fnl-000100--,1939713
Silver Medal,2,2024-08-06,CAO LIGUO,CHN,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/fnl-000100--,1919973
Bronze Medal,3,2024-08-06,ZHOLAMAN SHARSHENBEKOV,KGZ,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/repf000100--,1566631
Bronze Medal,3,2024-08-06,RI SE UNG,PRK,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/repf000200--,1980153
Gold Medal,1,2024-08-06,AMIT ELOR,USA,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--,1955304
Silver Medal,2,2024-08-06,MEERIM ZHUMANAZAROVA,KGZ,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--,1568241
Bronze Medal,3,2024-08-06,BUSE CAVUSOGLU TOSUN,TUR,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000100--,1570415
Bronze Medal,3,2024-08-06,OZAKI NONOKA,JPN,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000200--,1939709
Gold Medal,1,2024-08-07,CHINA,CHN,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---CHN01
Silver Medal,2,2024-08-07,UNITED STATES,USA,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---USA01
Bronze Medal,3,2024-08-07,SPAIN,ESP,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---ESP01
Gold Medal,1,2024-08-07,MARTIN A/PEREZ M,ESP,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTESP02
Silver Medal,2,2024-08-07,PINTADO B/MOREJON G,ECU,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTECU01
Bronze Medal,3,2024-08-07,COWLEY R/MONTAG J,AUS,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTAUS01
Gold Medal,1,2024-08-07,SOUFIANE EL BAKKALI,MAR,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1555372
Silver Medal,2,2024-08-07,KENNETH ROOKS,USA,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1965896
Bronze Medal,3,2024-08-07,ABRAHAM KIBIWOT,KEN,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1910445
Gold Medal,1,2024-08-07,QUINCY HALL,USA,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1960177
Silver Medal,2,2024-08-07,MATTHEW HUDSON-SMITH,GBR,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1924430
Bronze Medal,3,2024-08-07,MUZALA SAMUKONGA,ZAM,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1937531
Gold Medal,1,2024-08-07,ROJE STONA,JAM,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1912322
Silver Medal,2,2024-08-07,MYKOLAS ALEKNA,LTU,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1922593
Bronze Medal,3,2024-08-07,MATTHEW DENNY,AUS,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1939824
Gold Medal,1,2024-08-07,NINA KENNEDY,AUS,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1939839
Silver Medal,2,2024-08-07,KATIE MOON,USA,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1965268
Bronze Medal,3,2024-08-07,ALYSHA NEWMAN,CAN,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1974216
Bronze Medal,3,2024-08-07,NELVIE RAMAN TIAFACK,GER,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/sfnl000100--,1895903
Bronze Medal,3,2024-08-07,DJAMILI-DINI ABOUDOU MOINDZE,FRA,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/sfnl000200--,1879120
Gold Medal,1,2024-08-07,ERISLANDY ALVAREZ BORGES,CUB,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--,1555537
Silver Medal,2,2024-08-07,SOFIANE OUMIHA,FRA,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--,1879111
Gold Medal,1,2024-08-07,OLEKSANDR KHYZHNIAK,UKR,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--,1564362
Silver Medal,2,2024-08-07,NURBEK ORALBAY,KAZ,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--,1932824
Bronze Medal,3,2024-08-07,ESRA YILDIZ KAHRAMAN,TUR,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/sfnl000100--,1568204
Bronze Medal,3,2024-08-07,NESTHY PETECIO,PHI,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/sfnl000200--,1979904
Gold Medal,1,2024-08-07,AUSTRALIA,AUS,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4AUS01
Silver Medal,2,2024-08-07,GREAT BRITAIN,GBR,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4GBR01
Bronze Medal,3,2024-08-07,ITALY,ITA,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4ITA01
Gold Medal,1,2024-08-07,UNITED STATES,USA,W,Cycling Track,Women's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------,CTRWPURTEAM4USA01
Silver Medal,2,2024-08-07,NEW ZEALAND,NZL,W,Cycling Track,Women's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------,CTRWPURTEAM4NZL01
Bronze Medal,3,2024-08-07,GREAT BRITAIN,GBR,W,Cycling Track,Women's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------,CTRWPURTEAM4GBR01
Gold Medal,1,2024-08-07,MATT WEARN,AUS,M,Sailing,Men's Dinghy,ATH,/en/paris-2024/results/sailing/men-s-dinghy/fnl-000100--,1945990
Silver Medal,2,2024-08-07,PAVLOS KONTIDES,CYP,M,Sailing,Men's Dinghy,ATH,/en/paris-2024/results/sailing/men-s-dinghy/fnl-000100--,1905347
Bronze Medal,3,2024-08-07,STEFANO PESCHIERA,PER,M,Sailing,Men's Dinghy,ATH,/en/paris-2024/results/sailing/men-s-dinghy/fnl-000100--,1944316
Gold Medal,1,2024-08-07,MARIT BOUWMEESTER,NED,W,Sailing,Women's Dinghy,ATH,/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--,1970500
Silver Medal,2,2024-08-07,ANNE-MARIE RINDOM,DEN,W,Sailing,Women's Dinghy,ATH,/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--,1895121
Bronze Medal,3,2024-08-07,LINE FLEM HOEST,NOR,W,Sailing,Women's Dinghy,ATH,/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--,1878602
Gold Medal,1,2024-08-07,KEEGAN PALMER,AUS,M,Skateboarding,Men's Park,ATH,/en/paris-2024/results/skateboarding/men-s-park/fnl-000100--,1946074
Silver Medal,2,2024-08-07,TOM SCHAAR,USA,M,Skateboarding,Men's Park,ATH,/en/paris-2024/results/skateboarding/men-s-park/fnl-000100--,1944247
Bronze Medal,3,2024-08-07,AUGUSTO AKIO,BRA,M,Skateboarding,Men's Park,ATH,/en/paris-2024/results/skateboarding/men-s-park/fnl-000100--,1955669
Gold Medal,1,2024-08-07,ALEKSANDRA MIROSLAW,POL,W,Sport Climbing,Women's Speed,ATH,/en/paris-2024/results/sport-climbing/women-s-speed/------------,1563327
Silver Medal,2,2024-08-07,DENG LIJUAN,CHN,W,Sport Climbing,Women's Speed,ATH,/en/paris-2024/results/sport-climbing/women-s-speed/------------,1913702
Bronze Medal,3,2024-08-07,ALEKSANDRA KALUCKA,POL,W,Sport Climbing,Women's Speed,ATH,/en/paris-2024/results/sport-climbing/women-s-speed/------------,1563321
Gold Medal,1,2024-08-07,PARK TAEJOON,KOR,M,Taekwondo,Men -58kg,HATH,/en/paris-2024/results/taekwondo/men--58kg/fnl-000100--,1904040
Silver Medal,2,2024-08-07,GASHIM MAGOMEDOV,AZE,M,Taekwondo,Men -58kg,HATH,/en/paris-2024/results/taekwondo/men--58kg/fnl-000100--,1946883
Bronze Medal,3,2024-08-07,CYRIAN RAVET,FRA,M,Taekwondo,Men -58kg,HATH,/en/paris-2024/results/taekwondo/men--58kg/repf000100--,1893274
Bronze Medal,3,2024-08-07,MOHAMED KHALIL JENDOUBI,TUN,M,Taekwondo,Men -58kg,HATH,/en/paris-2024/results/taekwondo/men--58kg/repf000200--,1947736
Gold Medal,1,2024-08-07,PANIPAK WONGPATTANAKIT,THA,W,Taekwondo,Women -49kg,HATH,/en/paris-2024/results/taekwondo/women--49kg/fnl-000100--,1902841
Silver Medal,2,2024-08-07,GUO QING,CHN,W,Taekwondo,Women -49kg,HATH,/en/paris-2024/results/taekwondo/women--49kg/fnl-000100--,1910372
Bronze Medal,3,2024-08-07,MOBINA NEMATZADEH,IRI,W,Taekwondo,Women -49kg,HATH,/en/paris-2024/results/taekwondo/women--49kg/repf000100--,1536064
Bronze Medal,3,2024-08-07,LENA STOJKOVIC,CRO,W,Taekwondo,Women -49kg,HATH,/en/paris-2024/results/taekwondo/women--49kg/repf000200--,1569986
Gold Medal,1,2024-08-07,LI FABIN,CHN,M,Weightlifting,Men's 61kg,ATH,/en/paris-2024/results/weightlifting/men-s-61kg/fnl-000100--,1918372
Silver Medal,2,2024-08-07,THEERAPONG SILACHAI,THA,M,Weightlifting,Men's 61kg,ATH,/en/paris-2024/results/weightlifting/men-s-61kg/fnl-000100--,1898059
Bronze Medal,3,2024-08-07,HAMPTON MORRIS,USA,M,Weightlifting,Men's 61kg,ATH,/en/paris-2024/results/weightlifting/men-s-61kg/fnl-000100--,1917153
Gold Medal,1,2024-08-07,HOU ZHIHUI,CHN,W,Weightlifting,Women's 49kg,ATH,/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--,1918377
Silver Medal,2,2024-08-07,MIHAELA VALENTINA CAMBEI,ROU,W,Weightlifting,Women's 49kg,ATH,/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--,1550148
Bronze Medal,3,2024-08-07,SURODCHANA KHAMBAO,THA,W,Weightlifting,Women's 49kg,ATH,/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--,1898024
Gold Medal,1,2024-08-07,KUSAKA NAO,JPN,M,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--,1939692
Silver Medal,2,2024-08-07,DEMEU ZHADRAYEV,KAZ,M,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--,1958652
Bronze Medal,3,2024-08-07,MALKHAS AMOYAN,ARM,M,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000100--,1532873
Bronze Medal,3,2024-08-07,AKZHOL MAKHMUDOV,KGZ,M,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000200--,1566627
Gold Medal,1,2024-08-07,MOHAMMADHADI SARAVI,IRI,M,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--,1544897
Silver Medal,2,2024-08-07,ARTUR ALEKSANYAN,ARM,M,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--,1532872
Bronze Medal,3,2024-08-07,GABRIEL ALEJANDRO ROSILLO KINDELAN,CUB,M,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000100--,1571504
